temperature_2m,cloud_cover,shortwave_radiation,timestamp
7.5,31,0.0,2025-05-09 00:00:00+00:00
6.8,10,0.0,2025-05-09 01:00:00+00:00
6.1,69,0.0,2025-05-09 02:00:00+00:00
5.5,54,0.0,2025-05-09 03:00:00+00:00
4.9,83,0.0,2025-05-09 04:00:00+00:00
4.2,30,0.0,2025-05-09 05:00:00+00:00
3.9,99,0.0,2025-05-09 06:00:00+00:00
4.4,78,45.0,2025-05-09 07:00:00+00:00
5.4,75,148.0,2025-05-09 08:00:00+00:00
6.4,96,263.0,2025-05-09 09:00:00+00:00
7.9,74,399.0,2025-05-09 10:00:00+00:00
9.3,42,628.0,2025-05-09 11:00:00+00:00
10.3,81,721.0,2025-05-09 12:00:00+00:00
10.9,100,628.0,2025-05-09 13:00:00+00:00
11.5,89,543.0,2025-05-09 14:00:00+00:00
12.4,85,677.0,2025-05-09 15:00:00+00:00
12.8,67,628.0,2025-05-09 16:00:00+00:00
13.0,80,552.0,2025-05-09 17:00:00+00:00
12.3,94,292.0,2025-05-09 18:00:00+00:00
11.8,97,204.0,2025-05-09 19:00:00+00:00
11.1,11,102.0,2025-05-09 20:00:00+00:00
10.3,62,29.0,2025-05-09 21:00:00+00:00
10.0,100,0.0,2025-05-09 22:00:00+00:00
8.8,0,0.0,2025-05-09 23:00:00+00:00
8.2,3,0.0,2025-05-10 00:00:00+00:00
6.3,0,0.0,2025-05-10 01:00:00+00:00
6.0,0,0.0,2025-05-10 02:00:00+00:00
5.6,16,0.0,2025-05-10 03:00:00+00:00
5.1,3,0.0,2025-05-10 04:00:00+00:00
5.2,86,0.0,2025-05-10 05:00:00+00:00
5.4,100,0.0,2025-05-10 06:00:00+00:00
5.8,100,18.0,2025-05-10 07:00:00+00:00
6.9,99,103.0,2025-05-10 08:00:00+00:00
7.4,100,135.0,2025-05-10 09:00:00+00:00
7.4,100,94.0,2025-05-10 10:00:00+00:00
6.9,100,59.0,2025-05-10 11:00:00+00:00
6.8,100,47.0,2025-05-10 12:00:00+00:00
7.1,100,32.0,2025-05-10 13:00:00+00:00
7.3,100,28.0,2025-05-10 14:00:00+00:00
7.5,100,36.0,2025-05-10 15:00:00+00:00
7.5,100,23.0,2025-05-10 16:00:00+00:00
7.6,100,24.0,2025-05-10 17:00:00+00:00
7.7,100,17.0,2025-05-10 18:00:00+00:00
8.0,100,10.0,2025-05-10 19:00:00+00:00
8.0,100,8.0,2025-05-10 20:00:00+00:00
7.4,100,1.0,2025-05-10 21:00:00+00:00
6.1,100,0.0,2025-05-10 22:00:00+00:00
5.9,100,0.0,2025-05-10 23:00:00+00:00
