temperature_2m,cloud_cover,shortwave_radiation,timestamp
10.5,100,0.0,2025-05-08 00:00:00+00:00
9.7,99,0.0,2025-05-08 01:00:00+00:00
8.9,81,0.0,2025-05-08 02:00:00+00:00
7.9,54,0.0,2025-05-08 03:00:00+00:00
6.9,34,0.0,2025-05-08 04:00:00+00:00
5.7,11,0.0,2025-05-08 05:00:00+00:00
4.8,25,0.0,2025-05-08 06:00:00+00:00
4.5,48,52.0,2025-05-08 07:00:00+00:00
5.1,59,174.0,2025-05-08 08:00:00+00:00
6.9,94,336.0,2025-05-08 09:00:00+00:00
8.6,57,471.0,2025-05-08 10:00:00+00:00
10.1,83,618.0,2025-05-08 11:00:00+00:00
11.3,57,718.0,2025-05-08 12:00:00+00:00
11.9,92,784.0,2025-05-08 13:00:00+00:00
13.1,81,767.0,2025-05-08 14:00:00+00:00
13.2,100,554.0,2025-05-08 15:00:00+00:00
13.2,100,332.0,2025-05-08 16:00:00+00:00
12.3,49,364.0,2025-05-08 17:00:00+00:00
11.3,99,331.0,2025-05-08 18:00:00+00:00
10.9,100,196.0,2025-05-08 19:00:00+00:00
10.2,52,85.0,2025-05-08 20:00:00+00:00
9.5,21,23.0,2025-05-08 21:00:00+00:00
8.9,33,0.0,2025-05-08 22:00:00+00:00
8.5,17,0.0,2025-05-08 23:00:00+00:00
7.8,81,0.0,2025-05-09 00:00:00+00:00
7.0,0,0.0,2025-05-09 01:00:00+00:00
6.2,0,0.0,2025-05-09 02:00:00+00:00
5.5,0,0.0,2025-05-09 03:00:00+00:00
4.9,4,0.0,2025-05-09 04:00:00+00:00
4.6,11,0.0,2025-05-09 05:00:00+00:00
4.5,100,0.0,2025-05-09 06:00:00+00:00
4.8,97,37.0,2025-05-09 07:00:00+00:00
5.4,98,115.0,2025-05-09 08:00:00+00:00
6.4,98,207.0,2025-05-09 09:00:00+00:00
8.1,5,433.0,2025-05-09 10:00:00+00:00
9.5,61,645.0,2025-05-09 11:00:00+00:00
10.5,78,678.0,2025-05-09 12:00:00+00:00
11.6,81,724.0,2025-05-09 13:00:00+00:00
12.6,62,747.0,2025-05-09 14:00:00+00:00
13.4,49,764.0,2025-05-09 15:00:00+00:00
13.7,76,669.0,2025-05-09 16:00:00+00:00
13.4,100,460.0,2025-05-09 17:00:00+00:00
12.8,22,259.0,2025-05-09 18:00:00+00:00
12.4,77,253.0,2025-05-09 19:00:00+00:00
11.7,98,96.0,2025-05-09 20:00:00+00:00
10.5,100,14.0,2025-05-09 21:00:00+00:00
9.7,7,0.0,2025-05-09 22:00:00+00:00
8.8,0,0.0,2025-05-09 23:00:00+00:00
