temperature_2m,cloud_cover,shortwave_radiation,timestamp
4.3,33,0.0,2025-05-14 00:00:00+00:00
4.0,36,0.0,2025-05-14 01:00:00+00:00
3.7,39,0.0,2025-05-14 02:00:00+00:00
3.4,42,0.0,2025-05-14 03:00:00+00:00
3.1,46,0.0,2025-05-14 04:00:00+00:00
2.8,50,0.0,2025-05-14 05:00:00+00:00
3.0,49,1.0,2025-05-14 06:00:00+00:00
4.0,38,33.0,2025-05-14 07:00:00+00:00
5.3,21,121.0,2025-05-14 08:00:00+00:00
6.8,10,230.0,2025-05-14 09:00:00+00:00
8.4,10,343.0,2025-05-14 10:00:00+00:00
9.9,15,451.0,2025-05-14 11:00:00+00:00
11.1,18,562.0,2025-05-14 12:00:00+00:00
11.7,15,645.0,2025-05-14 13:00:00+00:00
11.9,9,624.0,2025-05-14 14:00:00+00:00
11.9,7,430.0,2025-05-14 15:00:00+00:00
11.8,11,167.0,2025-05-14 16:00:00+00:00
11.5,17,0.0,2025-05-14 17:00:00+00:00
11.1,24,-29.0,2025-05-14 18:00:00+00:00
10.5,30,-10.0,2025-05-14 19:00:00+00:00
9.8,37,0.0,2025-05-14 20:00:00+00:00
9.1,42,0.0,2025-05-14 21:00:00+00:00
8.2,44,0.0,2025-05-14 22:00:00+00:00
7.4,45,0.0,2025-05-14 23:00:00+00:00
6.7,45,0.0,2025-05-15 00:00:00+00:00
5.9,45,0.0,2025-05-15 01:00:00+00:00
5.3,44,0.0,2025-05-15 02:00:00+00:00
5.1,43,0.0,2025-05-15 03:00:00+00:00
5.4,42,0.0,2025-05-15 04:00:00+00:00
6.0,41,0.0,2025-05-15 05:00:00+00:00
6.7,40,2.0,2025-05-15 06:00:00+00:00
7.5,39,21.0,2025-05-15 07:00:00+00:00
8.4,39,54.0,2025-05-15 08:00:00+00:00
9.4,41,94.0,2025-05-15 09:00:00+00:00
10.4,46,140.0,2025-05-15 10:00:00+00:00
11.4,53,188.0,2025-05-15 11:00:00+00:00
12.2,60,233.0,2025-05-15 12:00:00+00:00
13.0,67,272.0,2025-05-15 13:00:00+00:00
13.6,75,294.0,2025-05-15 14:00:00+00:00
13.7,81,292.0,2025-05-15 15:00:00+00:00
13.1,86,270.0,2025-05-15 16:00:00+00:00
11.9,90,234.0,2025-05-15 17:00:00+00:00
10.7,93,188.0,2025-05-15 18:00:00+00:00
9.4,96,134.0,2025-05-15 19:00:00+00:00
8.1,98,78.0,2025-05-15 20:00:00+00:00
6.9,100,23.0,2025-05-15 21:00:00+00:00
6.2,100,0.0,2025-05-15 22:00:00+00:00
5.7,100,0.0,2025-05-15 23:00:00+00:00
