temperature_2m,cloud_cover,shortwave_radiation,timestamp
8.1,63,0.0,2025-05-10 00:00:00+00:00
6.9,0,0.0,2025-05-10 01:00:00+00:00
6.4,0,0.0,2025-05-10 02:00:00+00:00
6.4,56,0.0,2025-05-10 03:00:00+00:00
6.4,12,0.0,2025-05-10 04:00:00+00:00
5.8,24,0.0,2025-05-10 05:00:00+00:00
5.4,32,0.0,2025-05-10 06:00:00+00:00
5.7,100,33.0,2025-05-10 07:00:00+00:00
6.5,96,53.0,2025-05-10 08:00:00+00:00
7.7,100,137.0,2025-05-10 09:00:00+00:00
7.7,100,62.0,2025-05-10 10:00:00+00:00
7.2,100,68.0,2025-05-10 11:00:00+00:00
7.0,100,73.0,2025-05-10 12:00:00+00:00
7.3,100,80.0,2025-05-10 13:00:00+00:00
7.2,100,57.0,2025-05-10 14:00:00+00:00
7.4,100,80.0,2025-05-10 15:00:00+00:00
8.6,100,278.0,2025-05-10 16:00:00+00:00
9.1,100,235.0,2025-05-10 17:00:00+00:00
8.9,100,53.0,2025-05-10 18:00:00+00:00
9.0,100,55.0,2025-05-10 19:00:00+00:00
8.5,100,6.0,2025-05-10 20:00:00+00:00
8.0,100,1.0,2025-05-10 21:00:00+00:00
6.5,100,0.0,2025-05-10 22:00:00+00:00
5.7,100,0.0,2025-05-10 23:00:00+00:00
5.5,100,0.0,2025-05-11 00:00:00+00:00
5.3,97,0.0,2025-05-11 01:00:00+00:00
4.7,91,0.0,2025-05-11 02:00:00+00:00
3.0,56,0.0,2025-05-11 03:00:00+00:00
2.2,52,0.0,2025-05-11 04:00:00+00:00
1.5,52,0.0,2025-05-11 05:00:00+00:00
1.4,48,4.0,2025-05-11 06:00:00+00:00
2.3,33,83.0,2025-05-11 07:00:00+00:00
3.9,13,211.0,2025-05-11 08:00:00+00:00
5.4,0,329.0,2025-05-11 09:00:00+00:00
6.7,0,426.0,2025-05-11 10:00:00+00:00
7.9,4,510.0,2025-05-11 11:00:00+00:00
8.9,7,596.0,2025-05-11 12:00:00+00:00
9.9,6,673.0,2025-05-11 13:00:00+00:00
10.8,4,714.0,2025-05-11 14:00:00+00:00
11.3,2,707.0,2025-05-11 15:00:00+00:00
11.8,1,657.0,2025-05-11 16:00:00+00:00
11.9,0,563.0,2025-05-11 17:00:00+00:00
11.6,0,429.0,2025-05-11 18:00:00+00:00
10.2,0,284.0,2025-05-11 19:00:00+00:00
8.4,0,153.0,2025-05-11 20:00:00+00:00
6.8,0,41.0,2025-05-11 21:00:00+00:00
5.8,0,0.0,2025-05-11 22:00:00+00:00
5.1,0,0.0,2025-05-11 23:00:00+00:00
