temperature_2m,cloud_cover,shortwave_radiation,timestamp
5.6,100,0.0,2025-05-11 00:00:00+00:00
4.9,100,0.0,2025-05-11 01:00:00+00:00
4.6,100,0.0,2025-05-11 02:00:00+00:00
4.6,100,0.0,2025-05-11 03:00:00+00:00
4.6,97,0.0,2025-05-11 04:00:00+00:00
4.1,100,0.0,2025-05-11 05:00:00+00:00
4.1,100,1.0,2025-05-11 06:00:00+00:00
4.0,100,28.0,2025-05-11 07:00:00+00:00
4.6,96,123.0,2025-05-11 08:00:00+00:00
6.2,14,301.0,2025-05-11 09:00:00+00:00
7.3,11,431.0,2025-05-11 10:00:00+00:00
8.6,13,552.0,2025-05-11 11:00:00+00:00
9.6,14,648.0,2025-05-11 12:00:00+00:00
10.6,11,713.0,2025-05-11 13:00:00+00:00
11.4,8,743.0,2025-05-11 14:00:00+00:00
11.9,5,741.0,2025-05-11 15:00:00+00:00
12.2,4,699.0,2025-05-11 16:00:00+00:00
12.2,4,602.0,2025-05-11 17:00:00+00:00
11.8,4,452.0,2025-05-11 18:00:00+00:00
10.4,3,290.0,2025-05-11 19:00:00+00:00
8.6,1,153.0,2025-05-11 20:00:00+00:00
7.1,0,41.0,2025-05-11 21:00:00+00:00
6.2,1,0.0,2025-05-11 22:00:00+00:00
5.4,3,0.0,2025-05-11 23:00:00+00:00
4.8,5,0.0,2025-05-12 00:00:00+00:00
4.1,3,0.0,2025-05-12 01:00:00+00:00
3.5,0,0.0,2025-05-12 02:00:00+00:00
3.0,4,0.0,2025-05-12 03:00:00+00:00
2.7,23,0.0,2025-05-12 04:00:00+00:00
2.5,49,0.0,2025-05-12 05:00:00+00:00
2.5,67,1.0,2025-05-12 06:00:00+00:00
2.7,72,30.0,2025-05-12 07:00:00+00:00
3.0,70,112.0,2025-05-12 08:00:00+00:00
3.5,64,206.0,2025-05-12 09:00:00+00:00
4.8,52,296.0,2025-05-12 10:00:00+00:00
6.2,36,394.0,2025-05-12 11:00:00+00:00
7.6,28,529.0,2025-05-12 12:00:00+00:00
8.8,36,667.0,2025-05-12 13:00:00+00:00
9.9,51,727.0,2025-05-12 14:00:00+00:00
10.4,63,653.0,2025-05-12 15:00:00+00:00
10.4,69,504.0,2025-05-12 16:00:00+00:00
9.9,71,366.0,2025-05-12 17:00:00+00:00
9.1,66,263.0,2025-05-12 18:00:00+00:00
8.1,46,173.0,2025-05-12 19:00:00+00:00
6.8,19,94.0,2025-05-12 20:00:00+00:00
5.6,0,25.0,2025-05-12 21:00:00+00:00
4.8,0,0.0,2025-05-12 22:00:00+00:00
4.1,5,0.0,2025-05-12 23:00:00+00:00
